ID,Fwy,Direction,District,CA PM,Abs PM,Lanes,Type,Length,Lat,Lng,Road Width,Lane Width,Inner Shoulder Width,Inner Shoulder Treated Width,Outer Shoulder Width,Outer Shoulder Treated Width,Design Speed Limit,Inner Median Width,Terrain,Population,Barrier,Surface
401504,80,EB,4,3.2,33.26,3,Mainline,0.39,37.535252,-122.074943,84 ft,12.0 ft,4 ft,4 ft,4 ft,4 ft,65 mph,20 ft,Flat,Urbanized,Three Beam Barrier,"Base & Surface >= 7"" Thick"
400423,80,EB,4,3.86,33.92,3,Mainline,0.36,37.541467,-122.065681,36 ft,12.0 ft,5 ft,5 ft,4 ft,4 ft,65 mph,48 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick"
400759,80,EB,4,3.91,33.97,3,Mainline,0.85,37.54197,-122.065011,36 ft,12.0 ft,5 ft,5 ft,4 ft,4 ft,65 mph,48 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick"
401304,80,EB,4,5.56,35.62,3,Mainline,0.93,37.558016,-122.042978,36 ft,12.0 ft,5 ft,5 ft,4 ft,4 ft,65 mph,48 ft,Flat,Urbanized,Three Beam Barrier,"Base & Surface >= 7"" Thick"
400758,80,EB,4,5.76,35.82,3,Mainline,2.6,37.560347,-122.040871,24 ft,12.0 ft,5 ft,5 ft,8 ft,8 ft,45 mph,48 ft,Flat,Urbanized,Three Beam Barrier,"Base & Surface >= 7"" Thick"
400769,80,WB,4,.89,30.95,3,Mainline,1.06,37.516429,-122.106743,36 ft,12.0 ft,0 ft,0 ft,4 ft,4 ft,55 mph,20 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick"
400204,80,WB,4,1.31,31.37,3,Mainline,0.39,37.521657,-122.102892,36 ft,12.0 ft,0 ft,0 ft,4 ft,4 ft,55 mph,20 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick"
400841,80,WB,4,1.67,31.73,3,Mainline,0.4,37.52558,-122.09862,36 ft,12.0 ft,0 ft,0 ft,4 ft,4 ft,55 mph,20 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick"
400164,80,WB,4,2.11,32.17,3,Mainline,0.71,37.530179,-122.093116,36 ft,12.0 ft,0 ft,0 ft,4 ft,4 ft,55 mph,20 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick"
400015,80,WB,4,3.09,33.15,3,Mainline,0.88,37.534901,-122.076575,72 ft,12.0 ft,4 ft,4 ft,4 ft,4 ft,65 mph,20 ft,Flat,Urbanized,Three Beam Barrier,"Base & Surface >= 7"" Thick"
400448,80,WB,4,3.86,33.92,3,Mainline,0.41,37.541756,-122.065675,36 ft,12.0 ft,5 ft,5 ft,4 ft,4 ft,65 mph,48 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick"
400809,80,WB,4,3.91,33.97,3,Mainline,0.85,37.542255,-122.065019,36 ft,12.0 ft,5 ft,5 ft,4 ft,4 ft,65 mph,48 ft,Flat,Urbanized,Concrete Barrier,"Base & Surface >= 7"" Thick"
401301,80,WB,4,5.56,35.62,3,Mainline,0.93,37.55816,-122.043189,36 ft,12.0 ft,5 ft,5 ft,4 ft,4 ft,65 mph,48 ft,Flat,Urbanized,Three Beam Barrier,"Base & Surface >= 7"" Thick"
400496,80,WB,4,5.76,35.82,3,Mainline,2.6,37.560476,-122.041091,24 ft,12.0 ft,5 ft,5 ft,8 ft,8 ft,45 mph,48 ft,Flat,Urbanized,Three Beam Barrier,"Base & Surface >= 7"" Thick"
400729,80,NB,4,.1,0.1,1,Mainline,0.16,37.241625,-121.7675,24 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,99 ft,Flat,Urbanized,No Barriers,"Base & Surface >= 7"" Thick"
404439,80,NB,4,.22,0.22,3,Mainline,0.24,37.241688,-121.772849,36 ft,12.0 ft,10 ft,10 ft,10 ft,10 ft,70 mph,46 ft,Flat,Urbanized,Three Beam Barrier,"Base & Surface >= 7"" Thick"
401880,84,NB,4,.57,0.57,3,Mainline,0.3,37.24082,-121.778693,36 ft,12.0 ft,10 ft,10 ft,10 ft,10 ft,70 mph,46 ft,Flat,Urbanized,Three Beam Barrier,"Base & Surface >= 7"" Thick"
400410,84,NB,4,.81,0.81,3,Mainline,0.69,37.240325,-121.782062,36 ft,12.0 ft,10 ft,10 ft,10 ft,10 ft,70 mph,46 ft,Flat,Urbanized,Three Beam Barrier,"Base & Surface >= 7"" Thick"
413716,84,NB,4,1.95,1.95,3,Mainline,0.65,37.242794,-121.803276,36 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,69 ft,Flat,Urbanized,"Conc. Barrier, Both Ways Inside Both Shoulders ","Base & Surface >= 7"" Thick"
400132,84,NB,4,2.11,2.11,3,Mainline,0.95,37.243208,-121.806387,36 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,69 ft,Flat,Urbanized,"Conc. Barrier, Both Ways Inside Both Shoulders ","Base & Surface >= 7"" Thick"
400444,84,NB,4,3.84,3.84,3,Mainline,0.96,37.25025,-121.835557,36 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,69 ft,Flat,Urbanized,"Conc. Barrier, Both Ways Inside Both Shoulders ","Base & Surface >= 7"" Thick"
400145,84,NB,4,4.03,4.03,3,Mainline,0.67,37.251693,-121.838501,36 ft,12.0 ft,8 ft,8 ft,10 ft,10 ft,70 mph,69 ft,Flat,Urbanized,"Conc. Barrier, Both Ways Inside Both Shoulders ","Base & Surface >= 7"" Thick"
