FID,X1,Y1,X2,Y2,Ind,coordinate,edgeInd,Route,Direction,HwyId,distance,joinCount,joinCoun_1,joinCoun_2,joinCoun_3,joinCoun_4,joinCoun_0,center_X,center_Y
0,"-119,995.356174000000000","61,161.030015999997000","-119,498.942307000000000","61,220.806869000000000",0.000000000000000,"[[-119995.356174, 61161.030016, 0, 0], [-119498.94",0.000000000000000,50.000000000000000,E,0.000000000000000,499.999999500000000,5.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,3,"-119,747.149241000010000","61,190.918442499998000"
1,"-119,498.942307000000000","61,220.806869000000000","-119,002.540443000010000","61,280.683280999998000",1.000000000000000,"[[-119498.942307, 61220.806869, 0, 0], [-119332.55",1.000000000000000,50.000000000000000,E,0.000000000000000,500.000000370000010,2.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,0,"-119,250.738349000010000","61,250.719977399996000"
2,"-119,002.540443000010000","61,280.683280999998000","-118,506.144631000000000","61,340.609887999999000",2.000000000000000,"[[-119002.540443, 61280.683281, 0, 0], [-118506.14",5.000000000000000,50.000000000000000,E,0.000000000000000,500.000000399999980,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-118,754.342537000000000","61,310.646584499998000"
3,"-118,009.770970000000000","61,400.719588000000000","-117,513.277635000010000","61,459.829464000002000",3.000000000000000,"[[-118009.77097, 61400.719588, 0, 0], [-117923.026",2.000000000000000,50.000000000000000,E,0.000000000000000,500.000000829999980,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-117,761.537328000010000","61,430.382479899999000"
4,"-117,513.277635000010000","61,459.829464000002000","-117,019.331762999990000","61,534.435390999999000",4.000000000000000,"[[-117513.277635, 61459.829464, 0, 0], [-117431.85",4.000000000000000,50.000000000000000,E,0.000000000000000,499.999999150000010,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-117,265.076451999990000","61,489.763638700002000"
5,"-114,387.986221000000000","62,963.014164000000000","-113,940.096860000010000","63,185.039221999999000",5.000000000000000,"[[-114387.986221, 62963.014164, 0, 0], [-114249.52",3.000000000000000,50.000000000000000,E,0.000000000000000,499.999999670000020,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-114,163.157926999990000","63,072.333919999997000"
6,"-113,940.096860000010000","63,185.039221999999000","-113,532.540263000000000","63,473.853548999999000",6.000000000000000,"[[-113940.09686, 63185.039222, 0, 0], [-113916.067",13.000000000000000,50.000000000000000,E,0.000000000000000,499.999999919999990,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0,"-113,732.454281000000000","63,323.738975300002000"
7,"-117,019.331762999990000","61,534.435390999999000","-116,566.125827000000000","61,740.508517000002000",7.000000000000000,"[[-117019.331763, 61534.435391, 0, 0], [-117018.40",11.000000000000000,50.000000000000000,E,0.000000000000000,499.999999930000000,7.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,2,"-116,784.408365000000000","61,619.140835999999000"
8,"-118,506.144631000000000","61,340.609887999999000","-118,009.770970000000000","61,400.719588000000000",8.000000000000000,"[[-118506.144631, 61340.609888, 0, 0], [-118386.54",9.000000000000000,50.000000000000000,E,0.000000000000000,499.999999479999990,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-118,257.953792999990000","61,370.631613500002000"
9,"-116,138.476337000000000","61,999.575411999998000","-115,711.155403000000000","62,259.184386000001000",9.000000000000000,"[[-116138.476337, 61999.575412, 0, 0], [-115711.15",6.000000000000000,50.000000000000000,E,0.000000000000000,500.000000020000020,4.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000,0.000000000000000,0,"-115,924.815870000010000","62,129.379899000000000"
10,"-115,711.155403000000000","62,259.184386000001000","-115,283.639725999990000","62,518.452723000002000",10.000000000000000,"[[-115711.155403, 62259.184386, 0, 0], [-115290.14",8.000000000000000,50.000000000000000,E,0.000000000000000,500.000000059999990,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-115,497.494936000000000","62,388.988872900001000"
11,"-114,836.936570000010000","62,742.915403999999000","-114,387.986221000000000","62,963.014164000000000",11.000000000000000,"[[-114836.93657, 62742.915404, 0, 0], [-114679.027",7.000000000000000,50.000000000000000,E,0.000000000000000,500.000000090000010,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-114,612.403609000000000","62,852.846854700001000"
12,"-115,283.639725999990000","62,518.452723000002000","-114,836.936570000010000","62,742.915403999999000",12.000000000000000,"[[-115283.639726, 62518.452723, 0, 0], [-115158.77",10.000000000000000,50.000000000000000,E,0.000000000000000,500.000000300000010,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,"-115,061.512447999990000","62,633.071537099997000"
13,"-116,566.125827000000000","61,740.508517000002000","-116,138.476337000000000","61,999.575411999998000",13.000000000000000,"[[-116566.125827, 61740.508517, 0, 0], [-116305.50",12.000000000000000,50.000000000000000,E,0.000000000000000,500.000000059999990,5.000000000000000,1.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000,0,"-116,352.195698000000000","61,869.868092999997000"
